iter	Logloss
0	0.6322710157
1	0.5787465025
2	0.5307368742
3	0.4873006511
4	0.4492445768
5	0.4201273415
6	0.39208394
7	0.3737333858
8	0.3490417378
9	0.3315267313
10	0.3171347919
11	0.3023381327
12	0.2913762232
13	0.2800534936
14	0.2699250987
15	0.2616821553
16	0.2535678684
17	0.2467932146
18	0.24115414
19	0.2354312367
20	0.2300197993
21	0.2250092708
22	0.2206346651
23	0.2169194682
24	0.2144745809
25	0.2110500647
26	0.2089544944
27	0.2069521784
28	0.204929148
29	0.2026081051
30	0.2005411255
31	0.1981106367
32	0.1972051541
33	0.195316681
34	0.1935008931
35	0.1915389797
36	0.189828649
37	0.1877883629
38	0.1865028639
39	0.1853875346
40	0.1844013544
41	0.182993054
42	0.1818345305
43	0.1807055903
44	0.1800139074
45	0.1788038289
46	0.1775639244
47	0.1767410818
48	0.1757558816
49	0.1751226924
50	0.174301371
51	0.1735533301
52	0.1727443756
53	0.1718100666
54	0.1712690912
55	0.1707391329
56	0.1699783244
57	0.169383198
58	0.1686792125
59	0.1681103245
60	0.1672234765
61	0.1665194993
62	0.1660115027
63	0.1652582912
64	0.1645020116
65	0.1639246189
66	0.1632667296
67	0.162689965
68	0.1619997011
69	0.1613749808
70	0.1609770979
71	0.1604848623
72	0.1599011461
73	0.1593895489
74	0.1589948183
75	0.1585711961
76	0.1582092401
77	0.1577163802
78	0.157429148
79	0.1570109911
80	0.1563167594
81	0.1557776656
82	0.1553974897
83	0.1548333579
84	0.1543654887
85	0.1538632848
86	0.1532975433
87	0.1528714818
88	0.1524416134
89	0.1520090763
90	0.1517692996
91	0.1514274482
92	0.1511205207
93	0.1506048217
94	0.1501992935
95	0.1498271397
96	0.1493511164
97	0.148995622
98	0.1487059897
99	0.1484108852
100	0.1480889999
101	0.1477707034
102	0.1472199621
103	0.1470218121
104	0.1467544004
105	0.1463783944
106	0.1459986829
107	0.1456041255
108	0.1453565086
109	0.144997256
110	0.1446813754
111	0.1443048451
112	0.1440024538
113	0.1435600973
114	0.1432574665
115	0.14276456
116	0.1424172533
117	0.1420796077
118	0.1416658579
119	0.141409168
120	0.1410224887
121	0.1406766955
122	0.1403828273
123	0.1401478096
124	0.1396353724
125	0.1393459688
126	0.139002276
127	0.1385893803
128	0.1382643208
129	0.1379476053
130	0.1376025282
131	0.1371746831
132	0.1369019341
133	0.1366368705
134	0.1364485914
135	0.1361623827
136	0.135919958
137	0.1355962557
138	0.1353382678
139	0.1350045295
140	0.1347258451
141	0.1343900152
142	0.1341312645
143	0.1338422815
144	0.1336163803
145	0.1333751139
146	0.1330924779
147	0.1326311096
148	0.1321956896
149	0.1319522161
150	0.1315780283
151	0.1311813001
152	0.130887526
153	0.1307448545
154	0.1305383019
155	0.1301486118
156	0.1299007349
157	0.1295619028
158	0.1292680472
159	0.1289211048
160	0.1285808427
161	0.1283837606
162	0.1281554792
163	0.1278007676
164	0.1274314041
165	0.1271659718
166	0.1269390386
167	0.1265906786
168	0.1262723833
169	0.1259658078
170	0.1256499729
171	0.1253666116
172	0.125057454
173	0.1247185231
174	0.1245314261
175	0.1242237996
176	0.1240326729
177	0.1237135714
178	0.1234631293
179	0.1231747267
180	0.1228626923
181	0.1225594924
182	0.1223481716
183	0.1220202364
184	0.1218159057
185	0.1215177354
186	0.1212572685
187	0.1211316599
188	0.1208538993
189	0.1205501216
190	0.1202505717
191	0.1199100154
192	0.1196346472
193	0.1193957631
194	0.1190405834
195	0.1186901819
196	0.1184334814
197	0.1182615219
198	0.1179911122
199	0.1177632812
200	0.1173408831
201	0.1170672096
202	0.1168109828
203	0.1166229587
204	0.1162755107
205	0.11604828
206	0.1158772065
207	0.1156744343
208	0.1153687395
209	0.11505339
210	0.1147521514
211	0.114620161
212	0.1144283673
213	0.1141475283
214	0.1139053456
215	0.1136069398
216	0.1134086291
217	0.1131768738
218	0.1129669229
219	0.1127354958
220	0.1125033475
221	0.1123079028
222	0.1120346211
223	0.1116732859
224	0.1114467598
225	0.1112069126
226	0.1109693568
227	0.1107630472
228	0.1105497617
229	0.1103646271
230	0.1101903
231	0.110024357
232	0.109791642
233	0.1093152682
234	0.1091050919
235	0.1089095883
236	0.108637006
237	0.1084154705
238	0.108057136
239	0.1077927463
240	0.1075488565
241	0.1072019658
242	0.1069231904
243	0.1067160773
244	0.1065127234
245	0.1062968432
246	0.1061200439
247	0.1057828456
248	0.1055688756
249	0.1052992081
250	0.1051019301
251	0.1048275893
252	0.1045960495
253	0.1043379124
254	0.1040069685
255	0.1039016748
256	0.1035857223
257	0.1033492706
258	0.1031449455
259	0.102990173
260	0.1028083579
261	0.1024930439
262	0.1023316272
263	0.1020224482
264	0.1017327808
265	0.1015056658
266	0.1013793977
267	0.1010863871
268	0.1009359219
269	0.100719768
270	0.1005429254
271	0.1002933909
272	0.1001400419
273	0.09986148371
274	0.0996057624
275	0.09943066136
276	0.09927942301
277	0.09907371513
278	0.09883880832
279	0.09857355969
280	0.0983160574
281	0.09805732207
282	0.09794792537
283	0.09776592333
284	0.09752252184
285	0.09726632245
286	0.09705182438
287	0.09690000489
288	0.09668991465
289	0.0964919288
290	0.09630894876
291	0.09611265158
292	0.09590695627
293	0.09571092279
294	0.09538250433
295	0.09517840096
296	0.09504304321
297	0.09490076583
298	0.09474527322
299	0.09457106429
